0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.77778,2.7778,5.1111,6.6667,7,7,7,7,7,7,7,6.5556,4.2222,1.8889,0,0
0,0,0.22222,2,6,9.2222,10.556,9.6667,9.3333,9.3333,9.3333,9.3333,9.3333,9.8889,11.222,8.2222,4.5556,0.11111,0
0,0.22222,0.77778,4.4444,10.444,13.667,13.222,10.222,9.6667,9.6667,9.6667,9.6667,9.6667,10.667,14.778,12,7.7778,0.44444,0
0,0.44444,2.3333,7.7778,12.111,11.667,7.1111,3.2222,2.6667,2.6667,2.6667,2.6667,2.6667,3.7778,11,11,9,0.88889,0
0,1,4.5556,9.7778,11.556,8.3333,3.2222,0.55556,0.33333,0.33333,0.33333,0.33333,0.33333,1.2222,9.4444,10.556,9.5556,1.2222,0
0,1.6667,7.1111,10.778,9.6667,4.2222,0.55556,0,0,0,0,0,0.11111,2.4444,10.333,11.333,9,1.1111,0
0,2.4444,8.7778,10,7.5556,1.2222,0,0,0,0,0,0,0.55556,4.8889,11.222,11.556,7.2222,0.88889,0
0,3,9.6667,10.444,7.6667,1.2222,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,1.6667,7.6667,11.222,10.667,4.4444,0.66667,0
0.11111,3.1111,10.556,13.667,13.667,9.2222,9,9,9,9,9,9,9.8889,13.778,12.556,9.3333,2.4444,0.66667,0
0.11111,2.1111,7.5556,10.889,12.111,9.8889,9.6667,9.6667,9.6667,9.6667,9.6667,9.6667,10.111,11.889,9.3333,6.1111,1.1111,0.44444,0
0.11111,1,4.2222,7.3333,9.4444,9.2222,9,9,9,9,9,9,9,8.7778,6.2222,3.4444,0.66667,0.22222,0
0,0,0.22222,0.66667,0.88889,0.88889,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,0.44444,0.22222,0,0,0
0,0,0,0.11111,0.11111,0.11111,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
